404;PADANG PARIAMAN;31
405;PESISIR SELATAN;31
406;BUKITTINGGI;31
407;ACEH TENGGARA;32
408;SUBULUSSALAM;32
409;ACEH SINGKIL;32
410;PADANG;31
411;BENER MERIAH;32
412;GAYO LUES;32
413;ACEH TAMIANG;32
414;ACEH TENGAH;32
415;ACEH TIMUR;32
416;ACEH UTARA;32
417;LANGSA;32
418;BIREUEN;32
419;LHOKSEUMAWE;32
420;PIDIE;32
421;PIDIE JAYA;32
422;ACEH BARAT DAYA;32
423;ACEH SELATAN;32
424;SIMEULUE;32
425;ACEH BESAR;32
426;NAGAN RAYA;32
427;ACEH BARAT;32
428;ACEH JAYA;32
429;SABANG;32
430;MANDAILING NATAL;33
431;BANDA ACEH;32
432;NIAS;33
433;GUNUNGSITOLI;33
434;NIAS SELATAN;33
435;NIAS BARAT;33
436;NIAS UTARA;33
437;PADANG LAWAS UTARA;33
438;PADANG LAWAS;33
439;TAPANULI SELATAN;33
440;PADANG SIDEMPUAN;33
441;TAPANULI TENGAH;33
442;TAPANULI UTARA;33
443;HUMBANG HASUNDUTAN;33
444;SIBOLGA;33
445;PAKPAK BHARAT;33
446;DAIRI;33
447;TOBA SAMOSIR;33
448;SAMOSIR;33
449;LABUHAN BATU SELATAN;33
450;LABUHAN BATU;33
451;LABUHAN BATU UTARA;33
452;KARO;33
453;BATU BARA;33
454;ASAHAN;33
455;TANJUNG BALAI;33
456;SIMALUNGUN;33
457;LANGKAT;33
458;SERDANG BEDAGAI;33
459;PEMATANG SIANTAR;33
460;DELI SERDANG;33
461;MEDAN;33
462;TEBING TINGGI;33
463;BINJAI;33
464;BEKASI;22
465;DEPOK;22
466;BOGOR;22
467;TANGERANG;23
468;JAKARTA PUSAT;34
469;JAKARTA BARAT;34
470;JAKARTA SELATAN;34
471;Jakarta Timur;34
472;JAKARTA UTARA;34
473;KEPULAUAN SERIBU;34
474;TANGERANG SELATAN;23
