297;99967;SINGA (T\SINGA);29
298;99967;TEMBAGAPURA;29
299;99967;WAA;29
300;99968;BHINTUKA;30
301;99968;IWAKA;30
302;99968;KARANG SENANG;30
303;99968;KUALA KENCANA;30
304;99968;MULIA KENCANA;30
305;99968;NAENA MUKTIPURA;30
306;99968;UTIKINI BARU;30
307;99971;AMAMAPARE;31
308;99971;AYUKA;31
309;99971;FANAMO;31
310;99971;OHOTYA;31
311;99971;OMAWITA;31
312;99972;AIKAWAPUKA;32
313;99972;ATUKA;32
314;99972;KAMORA;32
315;99972;KEAKWA;32
316;99972;TIWAKA;32
317;99973;AKAR;33
318;99973;AMAR;34
319;99973;APIRI (IPIRI);34
320;99973;KAPIRAYA;33
321;99973;KAWAR (KAUAR);34
322;99973;KIPIA;33
323;99973;KIYURA;34
324;99973;KOKONAO;34
325;99973;MANAWARE (MANUARE);34
326;99973;MAPAR;33
327;99973;MAPURUKU (MAPURUKA/MUPURUKA);33
328;99973;MIGIWIA;34
329;99973;MIMIKA;34
330;99973;PARIPI;34
331;99973;PRONGGO;33
332;99973;UTA;33
333;99973;WAKIA;33
334;99973;WUMUKA;33
335;99973;YARAYA;34
336;99974;AIDUNA (AINDUA);35
337;99974;POTOWAYBURU (POTOWAIBURU);35
338;99974;TAPORMAI;35
339;99974;UMAR;35
340;99974;YAPAKOPA;35
341;99587;SOHI;36
342;99587;SOHOMBUNU;36
343;99587;SOMBULE;36
344;99587;SUAHE;36
345;99587;SUELE;36
346;99587;SUMBULE SATU;36
347;99587;SUMINAIKMA;36
348;99587;TAGABAGA;36
349;99587;ULUHUFUK;36
350;99587;ULUN;36
351;99587;ULUSI;36
352;99587;USABIYE;36
353;99587;UWAMBO SATU;36
354;99587;WABUHUK;36
355;99587;WAGHASILIMO;36
356;99587;WALAGIMA;36
357;99587;WAMBAL;36
358;99587;WAMBALFAK;36
359;99587;WAMBO;36
360;99587;WAMHOR;36
361;99587;WANDIKBONGKION;36
362;99587;WANGGIBO;36
363;99587;WANGKUN;36
364;99587;WAROHAM;36
365;99587;WENEMIKMA;36
366;99587;WILAK;36
367;99587;WILEROMA;36
368;99587;WILTLANGGO;36
369;99587;WOROL;36
370;99587;WURUPIKMA;36
371;99587;WUTLARIN;36
372;99587;YABUSUP;36
373;99587;YAHATMA;36
374;99587;YAMA;36
375;99587;YAMBAIKMA;36
376;99587;YANAMIK;36
377;99587;YANGKIKALMA;36
378;99587;YAWAN;36
379;99587;YUTANGGO;36
380;99611;RIMBA JAYA;37
381;99611;WASUR;37
382;99612;KELAPA LIMA;37
383;99613;MARO;37
384;99614;KARANG INDAH;37
385;99615;SAMKAI (KARANG SAMKAI);37
386;99616;BAMBU PEMALI;37
387;99616;KONDO;38
388;99616;KULER (TUNAS BARU);38
389;99616;MANDALA;37
390;99616;NASEM;37
391;99616;ONGGAYA;38
392;99616;SERINGGU JAYA;37
393;99616;TOMER;38
394;99616;TOMERAU;38
395;99651;AMUNKAI (AMUN KAY);39
396;99651;BERSEHATI;39
397;99651;HIDUP BARU;39
398;99651;ISANOMBIAS;39
399;99651;KUPER;40
400;99651;KUPRIK;40
401;99651;MARGA MULYA;40
402;99651;MATARA;40
403;99651;MURAMSARI;40
404;99651;NGGUTIBOB (NGUNTI BOB);39
405;99651;SARMAYAM INDAH (SERMAYAM);39
406;99651;SEMANGGA JAYA (SEMANGGI JAYA);40
407;99651;SIDOMULYO;40
408;99651;SOA;39
409;99651;SUMBER HARAPAN;39
410;99651;TAMBAT;39
411;99651;URUMB;40
412;99651;WANINGGAP KAY/KAI;40
413;99651;WANINGGAP MIRAF;39
414;99651;WANINGGAP NANGGO;40
415;99651;WANINGGAP SAY;39
416;99651;YABAMARU;39
417;99651;YASA MULYA (JOSO MULIA);39
418;99652;ANDAITO;41
419;99652;BAIDUB;42
420;99652;BELBELAND;42
421;99652;BOHA;41
422;99652;BOUWER;43
423;99652;BUMUN;43
424;99652;BUNGGAY;43
425;99652;BUPUL;43
426;99652;BUPUL INDAH;43
427;99652;EFKAB MAKMUR (METAAT MAKMUR);41
428;99652;ENGGAL JAYA;43
429;99652;ENGGOL JAYA (ELANGGOL JAYA);41
430;99652;GERISER (GERISAR);43
431;99652;KAFYAMKE;42
432;99652;KANDRAKAI;42
433;99652;KINDIKI;42
434;99652;KIRELI;42
435;99652;KOLAM;41
436;99652;KUMAAF;42
437;99652;KWEEL;43
438;99652;MANDEKMAN;42
439;99652;MANWAY BOB (MAN WAI BOB);41
440;99652;METAAT MAKMUR (MANTAAT MAKMUR);43
441;99652;MUTING;41
442;99652;NGGAYU;42
443;99652;PACHAS;41
444;99652;RAWAHAYU;42
445;99652;SEED AGUNG (SEDAYU AGUNG PRASASTI);41
446;99652;SELAUW;41
447;99652;SELIL;42
448;99652;SIGABEL JAYA;41
449;99652;SIPIAS;43
450;99652;TANAS (TANAAS);43
451;99652;TOF-TOF (TAFTOF);43
452;99652;WAN (WAAN);41
453;99654;ALAKU;44
454;99654;ALATEP (ALATEPI);44
455;99654;DODALIM;45
456;99654;DOKIB;45
